LAYER ID	 RESOURCE ACCESS 	TYPE	 RESOURCE ACCESS 	TYPE	 RESOURCE USE 	TYPE	 RESOURCE USE 	TYPE	 METADATA ACCESS 	TYPE	 METADATA ACCESS 	TYPE	 METADATA USE 	TYPE	 METADATA USE 	TYPE
51872	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Waikato Regional Aerial Photography Service (WRAPS) 2012. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Waikato Regional Aerial Photography Service (WRAPS) 2012. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Waikato Regional Aerial Photography Service (WRAPS) 2012. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Waikato Regional Aerial Photography Service (WRAPS) 2012. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)   Land Information New Zealand and the New Zealand Government.  All rights reserved.	copyright	Released under Creative Commons By.	license	unclassified	
51870	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Greater Wellington Regional Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Greater Wellington Regional Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Greater Wellington Regional Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Greater Wellington Regional Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)   Land Information New Zealand and the New Zealand Government.  All rights reserved.	copyright	Released under Creative Commons By.	license	unclassified	
51769	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Auckland Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Auckland Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Auckland Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Auckland Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)  Land Information New Zealand and the New Zealand Government.  All rights reserved.	copyright	Released under Creative Commons By.	license	unclassified	
51871	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by the Wellington City Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by the Wellington City Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by the Wellington City Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by the Wellington City Council. Licensed for re-use under the Creative Commons Attribution 3.0 New Zealand license."	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)   Land Information New Zealand and the New Zealand Government.  All rights reserved.	copyright	Released under Creative Commons By.	license	unclassified	
51932	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Land Information New Zealand"  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Land Information New Zealand.”	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Land Information New Zealand"  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Land Information New Zealand.”	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Land Information New Zealand"  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Land Information New Zealand.”	copyright	Released under Creative Commons By.	license	unclassified	
51767	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by NZ Aerial Mapping Limited and Manawatu-Wanganui LASS Limited, and is used under licence by Land Information New Zealand." Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by NZ Aerial Mapping Limited and Manawatu-Wanganui LASS Limited, and is used under licence by Land Information New Zealand.”	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by NZ Aerial Mapping Limited and Manawatu-Wanganui LASS Limited, and is used under licence by Land Information New Zealand."  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by NZ Aerial Mapping Limited and Manawatu-Wanganui LASS Limited, and is used under licence by Land Information New Zealand.”	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)   Land Information New Zealand and the New Zealand Government.  All rights reserved.	copyright	Released under Creative Commons By.	license	unclassified	
51910	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Terralink International Limited and Otago Regional Council "  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Terralink International Limited and Otago Regional Council”	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by Terralink International Limited and Otago Regional Council "  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by Terralink International Limited and Otago Regional Council”	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)   Land Information New Zealand and the New Zealand Government.  All rights reserved.	copyright	Released under Creative Commons By.	license	unclassified	
51768	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)  Land Information New Zealand and the New Zealand Government.  All rights reserved	copyright	Released under Creative Commons By	license	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)  Land Information New Zealand and the New Zealand Government.  All rights reserved	copyright	Released under Creative Commons By	license	unclassified	
51760	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by BOPLASS Limited"  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by BOPLASS Limited. ”	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for  Copies: "Copyright in this work is owned by BOPLASS Limited"  Attribution Required for  Derivative works "Copyright in the underlying dataset from which this work has been derived is owned by BOPLASS Limited. ”	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Copyright 2011 Crown copyright (c)   Land Information New Zealand and the New Zealand Government.  All rights reserved.	copyright	Released under Creative Commons By.	license	unclassified	
51877	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for Copies:  "Copyright in this work is owned by The Canterbury Aerial Imagery (CAI) consortium (Environment Canterbury Regional Council, EA Networks,  Ashburton District Council, Selwyn District Council,  Timaru District Council, Land Information New Zealand, Ministry for Primary Industries, Department of Conservation, and Alpine Energy Limited)"   Attribution Required for Derivative works:  "Copyright in the underlying dataset from which this work has been derived is owned by The Canterbury Aerial Imagery (CAI) consortium (Environment Canterbury Regional Council, EA Networks,  Ashburton District Council, Selwyn District Council,  Timaru District Council, Land Information New Zealand, Ministry for Primary Industries, Department of Conservation, and Alpine Energy Limited)"	copyright	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for Copies:  "Copyright in this work is owned by The Canterbury Aerial Imagery (CAI) consortium (Environment Canterbury Regional Council, EA Networks,  Ashburton District Council, Selwyn District Council,  Timaru District Council, Land Information New Zealand, Ministry for Primary Industries, Department of Conservation, and Alpine Energy Limited)"   Attribution Required for Derivative works:  "Copyright in the underlying dataset from which this work has been derived is owned by The Canterbury Aerial Imagery (CAI) consortium (Environment Canterbury Regional Council, EA Networks,  Ashburton District Council, Selwyn District Council,  Timaru District Council, Land Information New Zealand, Ministry for Primary Industries, Department of Conservation, and Alpine Energy Limited)"	copyright	Released under Creative Commons By.	license	None 	None 	None 	None 	Released under Creative Commons By Creative Commons Attribution 3.0 New Zealand Link: http://data.linz.govt.nz/license/attribution-3-0-new-zealand/  Attribution Required for Copies:  "Copyright in this work is owned by The Canterbury Aerial Imagery (CAI) consortium (Environment Canterbury Regional Council, EA Networks,  Ashburton District Council, Selwyn District Council,  Timaru District Council, Land Information New Zealand, Ministry for Primary Industries, Department of Conservation, and Alpine Energy Limited)"   Attribution Required for Derivative works:  "Copyright in the underlying dataset from which this work has been derived is owned by The Canterbury Aerial Imagery (CAI) consortium (Environment Canterbury Regional Council, EA Networks,  Ashburton District Council, Selwyn District Council,  Timaru District Council, Land Information New Zealand, Ministry for Primary Industries, Department of Conservation, and Alpine Energy Limited)"	copyright	Released under Creative Commons By.	license	unclassified	
